Ano,Mes,Codigo_IBGE,Municipio_Nome,Obitos
2020,Agosto,130380,SAO GABRIEL DA CACHOEIRA,1.0
2020,Agosto,130390,SAO PAULO DE OLIVENCA,0.0
2020,Agosto,130395,SAO SEBASTIAO DO UATUMA,0.0
2020,Agosto,130400,SILVES,0.0
2020,Agosto,130406,TABATINGA,3.0
2020,Agosto,130410,TAPAUA,2.0
2020,Agosto,130420,TEFE,4.0
2020,Agosto,130423,TONANTINS,0.0
2020,Agosto,130426,UARINI,0.0
2020,Agosto,130430,URUCARA,0.0
2020,Agosto,130440,URUCURITUBA,0.0
2020,Agosto,Total,,98.0
2020,Setembro,130002,ALVARAES,0.0
2020,Setembro,130006,AMATURA,0.0
2020,Setembro,130008,ANAMA,0.0
2020,Setembro,130010,ANORI,0.0
2020,Setembro,130014,APUI,0.0
2020,Setembro,130020,ATALAIA DO NORTE,0.0
2020,Setembro,130030,AUTAZES,0.0
2020,Setembro,130040,BARCELOS,1.0
2020,Setembro,130050,BARREIRINHA,3.0
2020,Setembro,130060,BENJAMIN CONSTANT,0.0
2020,Setembro,130068,BOA VISTA DO RAMOS,1.0
2020,Setembro,130070,BOCA DO ACRE,2.0
2020,Setembro,130080,BORBA,2.0
2020,Setembro,130083,CAAPIRANGA,1.0
2020,Setembro,130090,CANUTAMA,0.0
2020,Setembro,130100,CARAUARI,0.0
2020,Setembro,130110,CAREIRO,0.0
2020,Setembro,130115,CAREIRO DA VARZEA,0.0
2020,Setembro,130120,COARI,1.0
2020,Setembro,130130,CODAJAS,0.0
2020,Setembro,130140,EIRUNEPE,2.0
2020,Setembro,130150,ENVIRA,0.0
2020,Setembro,130160,FONTE BOA,1.0
2020,Setembro,130165,GUAJARA,0.0
2020,Setembro,130170,HUMAITA,2.0
2020,Setembro,130180,IPIXUNA,0.0
2020,Setembro,130185,IRANDUBA,2.0
2020,Setembro,130190,ITACOATIARA,3.0
2020,Setembro,130195,ITAMARATI,0.0
2020,Setembro,130200,ITAPIRANGA,2.0
2020,Setembro,130220,JURUA,0.0
2020,Setembro,130230,JUTAI,0.0
2020,Setembro,130240,LABREA,0.0
2020,Setembro,130250,MANACAPURU,2.0
2020,Setembro,130255,MANAQUIRI,0.0
2020,Setembro,130260,MANAUS,63.0
2020,Setembro,130270,MANICORE,1.0
2020,Setembro,130280,MARAA,0.0
2020,Setembro,130290,MAUES,1.0
2020,Setembro,130300,NHAMUNDA,0.0
2020,Setembro,130310,NOVA OLINDA DO NORTE,0.0
2020,Setembro,130320,NOVO AIRAO,1.0
2020,Setembro,130330,NOVO ARIPUANA,0.0
2020,Setembro,130340,PARINTINS,5.0
2020,Setembro,130350,PAUINI,0.0
2020,Setembro,130353,PRESIDENTE FIGUEIREDO,1.0
2020,Setembro,130356,RIO PRETO DA EVA,0.0
2020,Setembro,130360,SANTA ISABEL DO RIO NEGRO,0.0
2020,Setembro,130370,SANTO ANTONIO DO ICA,0.0
2020,Setembro,130380,SAO GABRIEL DA CACHOEIRA,4.0
2020,Setembro,130390,SAO PAULO DE OLIVENCA,1.0
2020,Setembro,130395,SAO SEBASTIAO DO UATUMA,0.0
2020,Setembro,130400,SILVES,0.0
2020,Setembro,130406,TABATINGA,0.0
2020,Setembro,130410,TAPAUA,0.0
2020,Setembro,130420,TEFE,2.0
2020,Setembro,130423,TONANTINS,0.0
2020,Setembro,130426,UARINI,0.0
2020,Setembro,130430,URUCARA,0.0
2020,Setembro,130440,URUCURITUBA,0.0
2020,Setembro,Total,,104.0
2020,Outubro,130002,ALVARAES,0.0
2020,Outubro,130006,AMATURA,0.0
2020,Outubro,130008,ANAMA,0.0
2020,Outubro,130010,ANORI,0.0
2020,Outubro,130014,APUI,0.0
2020,Outubro,130020,ATALAIA DO NORTE,0.0
2020,Outubro,130030,AUTAZES,0.0
2020,Outubro,130040,BARCELOS,0.0
2020,Outubro,130050,BARREIRINHA,2.0
2020,Outubro,130060,BENJAMIN CONSTANT,2.0
2020,Outubro,130068,BOA VISTA DO RAMOS,0.0
2020,Outubro,130070,BOCA DO ACRE,2.0
2020,Outubro,130080,BORBA,1.0
2020,Outubro,130083,CAAPIRANGA,0.0
2020,Outubro,130090,CANUTAMA,0.0
2020,Outubro,130100,CARAUARI,0.0
2020,Outubro,130110,CAREIRO,0.0
2020,Outubro,130115,CAREIRO DA VARZEA,0.0
2020,Outubro,130120,COARI,1.0
2020,Outubro,130130,CODAJAS,0.0
2020,Outubro,130140,EIRUNEPE,1.0
2020,Outubro,130150,ENVIRA,1.0
2020,Outubro,130160,FONTE BOA,1.0
2020,Outubro,130165,GUAJARA,1.0
2020,Outubro,130170,HUMAITA,1.0
2020,Outubro,130180,IPIXUNA,0.0
2020,Outubro,130185,IRANDUBA,0.0
2020,Outubro,130190,ITACOATIARA,3.0
2020,Outubro,130195,ITAMARATI,0.0
2020,Outubro,130200,ITAPIRANGA,0.0
2020,Outubro,130220,JURUA,0.0
2020,Outubro,130230,JUTAI,1.0
2020,Outubro,130240,LABREA,0.0
2020,Outubro,130250,MANACAPURU,6.0
2020,Outubro,130255,MANAQUIRI,0.0
2020,Outubro,130260,MANAUS,61.0
2020,Outubro,130270,MANICORE,0.0
2020,Outubro,130280,MARAA,0.0
2020,Outubro,130290,MAUES,4.0
2020,Outubro,130300,NHAMUNDA,2.0
2020,Outubro,130310,NOVA OLINDA DO NORTE,0.0
2020,Outubro,130320,NOVO AIRAO,0.0
