year;areakm;municipality;geocode_ibge;state
2018;0,5870981125109218;Boa Vista do Ramos;1300680;Amazonas
2019;7,6803588074313245;Boa Vista do Ramos;1300680;Amazonas
2020;8,11497582898325;Boa Vista do Ramos;1300680;Amazonas
2021;2,0007981726143496;Boa Vista do Ramos;1300680;Amazonas
2022;3,0232278358748434;Boa Vista do Ramos;1300680;Amazonas
2023;1,890440633838548;Boa Vista do Ramos;1300680;Amazonas
2000;0,02744704781886626;Boca do Acre;1300706;Amazonas
2001;0;Boca do Acre;1300706;Amazonas
2002;0;Boca do Acre;1300706;Amazonas
2003;0;Boca do Acre;1300706;Amazonas
2004;0;Boca do Acre;1300706;Amazonas
2005;0,08283301675126124;Boca do Acre;1300706;Amazonas
2006;0,08283301675126124;Boca do Acre;1300706;Amazonas
2007;0,0054968627579463645;Boca do Acre;1300706;Amazonas
2008;0,0054968627579463645;Boca do Acre;1300706;Amazonas
2009;0,0219855280727027;Boca do Acre;1300706;Amazonas
2010;0,0219855280727027;Boca do Acre;1300706;Amazonas
2011;0,024212618725940816;Boca do Acre;1300706;Amazonas
2012;0,024212618725940816;Boca do Acre;1300706;Amazonas
2013;0,024212618725940816;Boca do Acre;1300706;Amazonas
2014;0,05144224440771613;Boca do Acre;1300706;Amazonas
2015;0,017240435640980677;Boca do Acre;1300706;Amazonas
2016;0,017240435640980677;Boca do Acre;1300706;Amazonas
2017;0,07319851223200141;Boca do Acre;1300706;Amazonas
2018;0,07319851223200141;Boca do Acre;1300706;Amazonas
2019;0,049472219409439;Boca do Acre;1300706;Amazonas
2020;0,1455113343211346;Boca do Acre;1300706;Amazonas
2021;0;Boca do Acre;1300706;Amazonas
2022;0,2574622315620798;Boca do Acre;1300706;Amazonas
2023;0,014065178083639591;Boca do Acre;1300706;Amazonas
2000;1,6372405146966258;Borba;1300805;Amazonas
2001;0,04259498956561158;Borba;1300805;Amazonas
2002;0,04259498956561158;Borba;1300805;Amazonas
2003;0,13737869966750174;Borba;1300805;Amazonas
2004;0,13737869966750174;Borba;1300805;Amazonas
2005;0,32953658289936;Borba;1300805;Amazonas
2006;0,32953658289936;Borba;1300805;Amazonas
2007;0,14306862796433167;Borba;1300805;Amazonas
2008;0,14306862796433167;Borba;1300805;Amazonas
2009;0,22235774909888045;Borba;1300805;Amazonas
2010;0,22235774909888045;Borba;1300805;Amazonas
2011;0,04868422072745016;Borba;1300805;Amazonas
2012;0,04868422072745016;Borba;1300805;Amazonas
2013;0,04868422072745016;Borba;1300805;Amazonas
2014;0,012436168612552615;Borba;1300805;Amazonas
2015;0,13548622709446284;Borba;1300805;Amazonas
2016;0,13548622709446284;Borba;1300805;Amazonas
2017;0;Borba;1300805;Amazonas
2018;0;Borba;1300805;Amazonas
2019;0,2092833625535895;Borba;1300805;Amazonas
2020;0,09713531122790045;Borba;1300805;Amazonas
2021;0,02526128929948921;Borba;1300805;Amazonas
2022;0,8897773238531275;Borba;1300805;Amazonas
2023;0,23908252282604667;Borba;1300805;Amazonas
2000;2,4493328034807096;Caapiranga;1300839;Amazonas
2001;0,5389863589492969;Caapiranga;1300839;Amazonas
2002;0,5389863589492969;Caapiranga;1300839;Amazonas
2003;0,20224383247619315;Caapiranga;1300839;Amazonas
2004;0,20224383247619315;Caapiranga;1300839;Amazonas
2005;0,08764564286177885;Caapiranga;1300839;Amazonas
2006;0,08764564286177885;Caapiranga;1300839;Amazonas
2007;0,012449084951985784;Caapiranga;1300839;Amazonas
2008;0,012449084951985784;Caapiranga;1300839;Amazonas
2009;0,07580084542540172;Caapiranga;1300839;Amazonas
2010;0,07580084542540172;Caapiranga;1300839;Amazonas
2011;0,0038304629126364982;Caapiranga;1300839;Amazonas
2012;0,0038304629126364982;Caapiranga;1300839;Amazonas
2013;0,0038304629126364982;Caapiranga;1300839;Amazonas
2014;0,04032091709128972;Caapiranga;1300839;Amazonas
2015;0,07576949905877162;Caapiranga;1300839;Amazonas
2016;0,07576949905877162;Caapiranga;1300839;Amazonas
2017;0,08019020885004469;Caapiranga;1300839;Amazonas
2018;0,08019020885004469;Caapiranga;1300839;Amazonas
2019;0,06688604256975675;Caapiranga;1300839;Amazonas
2020;0,4706301730785048;Caapiranga;1300839;Amazonas
2021;0,01045289189000614;Caapiranga;1300839;Amazonas
2022;0,1759251247936262;Caapiranga;1300839;Amazonas
2023;0,09177610572693258;Caapiranga;1300839;Amazonas
2000;29,24981369669236;Canutama;1300904;Amazonas
2001;0,7054671072786215;Canutama;1300904;Amazonas
2002;0,7054671072786215;Canutama;1300904;Amazonas
2003;0,8154522220081293;Canutama;1300904;Amazonas
2004;0,8154522220081293;Canutama;1300904;Amazonas
2005;3,9581106671219097;Canutama;1300904;Amazonas
2006;3,9581106671219097;Canutama;1300904;Amazonas
2007;1,030165680313632;Canutama;1300904;Amazonas
2008;1,030165680313632;Canutama;1300904;Amazonas
2009;0,9999525675206913;Canutama;1300904;Amazonas
2010;0,9999525675206913;Canutama;1300904;Amazonas
2011;0,09659469433339993;Canutama;1300904;Amazonas
2012;0,09659469433339993;Canutama;1300904;Amazonas
2013;0,09659469433339993;Canutama;1300904;Amazonas
2014;0,01239313154825462;Canutama;1300904;Amazonas
2015;0,3131881169065703;Canutama;1300904;Amazonas
