year,month,municipality,deaths,DiaSemChuva,Precipitacao,RiscoFogo,FRP,area_desmatada_km2
2020,2,AUTAZES,1.0,,,,,"1,9799903594270607"
2020,2,BARCELOS,1.0,9.0,0.5,0.1,4.3,"0,04148981453375254"
2020,2,BARCELOS,1.0,3.0,0.4,0.1,5.9,"0,04148981453375254"
2020,2,BARCELOS,1.0,3.0,0.5,0.1,13.0,"0,04148981453375254"
2020,2,BARCELOS,1.0,2.0,0.1,0.4,9.3,"0,04148981453375254"
2020,2,BARREIRINHA,1.0,,,,,"2,183244195510642"
2020,2,BENJAMIN CONSTANT,1.0,,,,,0
2020,2,BOA VISTA DO RAMOS,1.0,,,,,"8,11497582898325"
2020,2,BOCA DO ACRE,2.0,,,,,"0,1455113343211346"
2020,2,BORBA,1.0,4.0,1.0,0.0,7.3,"0,09713531122790045"
2020,2,CAAPIRANGA,0.0,,,,,"0,4706301730785048"
2020,2,CANUTAMA,0.0,1.0,3.2,0.0,4.6,"0,46871454958425374"
2020,2,CARAUARI,1.0,,,,,0
2020,2,CAREIRO,0.0,2.0,0.2,0.0,5.6,"0,012035883868006058"
2020,2,CAREIRO,0.0,2.0,0.2,0.0,7.0,"0,012035883868006058"
2020,2,CAREIRO DA VARZEA,2.0,,,,,"6,512761006150412"
2020,2,COARI,2.0,,,,,"0,056543497772431006"
2020,2,CODAJAS,1.0,,,,,"0,4206079708460421"
2020,2,EIRUNEPE,1.0,,,,,"0,04247959641536796"
2020,2,ENVIRA,2.0,,,,,0
2020,2,FONTE BOA,1.0,,,,,0
2020,2,GUAJARA,0.0,,,,,"0,13028665579329168"
2020,2,HUMAITA,2.0,,,,,"15,96070149816329"
2020,2,IPIXUNA,0.0,,,,,"0,06685231238359571"
2020,2,IRANDUBA,0.0,,,,,"2,179980613047716"
2020,2,ITACOATIARA,1.0,,,,,"2,2086947352253348"
2020,2,ITAMARATI,0.0,,,,,0
2020,2,ITAPIRANGA,0.0,,,,,"1,213748555463989"
2020,2,JURUA,0.0,,,,,0
2020,2,JUTAI,1.0,,,,,0
2020,2,LABREA,2.0,,,,,"0,36857392801492594"
2020,2,MANACAPURU,3.0,2.0,2.5,0.0,9.0,"1,1128868616586303"
2020,2,MANAQUIRI,0.0,,,,,"1,1256339185531616"
2020,2,MANAUS,68.0,,,,,"0,050410258663199745"
2020,2,MANICORE,0.0,,,,,"0,5038019213676104"
2020,2,MARAA,0.0,,,,,0
2020,2,MAUES,0.0,,,,,"3,2169504512333185"
2020,2,NHAMUNDA,1.0,,,,,"2,2321232623669918"
2020,2,NOVA OLINDA DO NORTE,0.0,0.0,6.4,0.0,5.2,"0,6646369482127781"
2020,2,NOVA OLINDA DO NORTE,0.0,0.0,6.0,0.0,5.5,"0,6646369482127781"
2020,2,NOVO AIRAO,0.0,,,,,0
2020,2,NOVO ARIPUANA,0.0,,,,,"0,03282936335335154"
2020,2,PARINTINS,4.0,0.0,7.1,-999.0,22.8,"2,9784428355101946"
2020,2,PAUINI,0.0,,,,,0
2020,2,PRESIDENTE FIGUEIREDO,2.0,3.0,2.8,0.0,20.8,0
2020,2,PRESIDENTE FIGUEIREDO,2.0,2.0,0.8,0.0,6.6,0
2020,2,PRESIDENTE FIGUEIREDO,2.0,0.0,0.4,0.0,6.7,0
2020,2,PRESIDENTE FIGUEIREDO,2.0,0.0,0.3,0.0,7.0,0
2020,2,PRESIDENTE FIGUEIREDO,2.0,0.0,0.3,0.0,7.8,0
2020,2,RIO PRETO DA EVA,0.0,,,,,0
2020,2,SANTA ISABEL DO RIO NEGRO,1.0,3.0,0.0,0.1,27.4,"0,03816654532211613"
2020,2,SANTA ISABEL DO RIO NEGRO,1.0,3.0,0.0,0.1,44.4,"0,03816654532211613"
2020,2,SANTA ISABEL DO RIO NEGRO,1.0,7.0,0.0,0.1,7.0,"0,03816654532211613"
2020,2,SANTA ISABEL DO RIO NEGRO,1.0,7.0,0.0,0.1,9.3,"0,03816654532211613"
